run_id,start_time,end_time,duration,model_type,experiment_name,epochs_run,optimizer,learning_rate_initial,weight_decay,scheduler_type,scheduler_factor,scheduler_patience,train_data_file,test_data_file,train_samples,test_samples,class_0_weight,class_1_weight,class_2_weight,class_3_weight,class_4_weight,best_train_loss,best_test_loss,best_accuracy,best_recall,best_precision,best_f1,best_loss_difference_abs,best_loss_difference_rel_perc,best_epoch,best_learning_rate,early_stopped_epoch,conv_filters,conv_filters_per_block,dropout,dropout_rate,hidden_size,input_channels,input_size,input_size_after_flattening,kernel_size,kernel_size_per_block,num_features,num_layers,output_size,reduction_ratio,use_dropout,status,ranking_score,ranking,run
20250623-183016,2025-06-23T19:15:10.531983,2025-06-23T19:37:01.658312,0:21:51.126329,gru_model,GRU_Experiment_2_heart_big_train,58,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,0.16954141433899214,0.15951874195459698,0.947241001279006,0.947241001279006,0.9647068575543282,0.9534598679504391,0.010022672384395165,6.283068849206364,12,0.001,58,<list<integer>>,NA,0.2,NA,128,NA,187,NA,NA,NA,NA,2,5,NA,NA,COMPLETED,8.41743429670258,1,basic
20250623-183016,2025-06-24T01:39:46.270879,2025-06-24T02:12:25.801211,0:32:39.530332,cnn_se_skip_model,CNN_SE_Skip_Experiment_1_heart_big_train,68,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,1.028757805859898,1.026136794768542,0.8781746756806139,0.8781746756806139,0.9412922577830879,0.9029642009519518,0.0026210110913560403,0.2554251153178112,11,0.001,68,<list<integer>>,32,NA,0.3,64,1,NA,1472,NA,3,187,2,5,8,FALSE,COMPLETED,12.310244989597514,2,basic
20250623-183016,2025-06-23T18:59:30.499638,2025-06-23T19:15:10.514815,0:15:40.015177,gru_model,GRU_Experiment_1_heart_big_train,52,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,0.13686767817077988,0.1663997953703786,0.9497076557646629,0.9497076557646629,0.9624049507705155,0.9542331124305481,0.029532117199598723,17.74768841143409,14,0.001,52,<list<integer>>,NA,0,NA,64,NA,187,NA,NA,NA,NA,1,5,NA,NA,COMPLETED,13.903078629250757,3,basic
20250623-183016,2025-06-23T21:02:03.877322,2025-06-23T21:26:49.916025,0:24:46.038703,cnn_model,CNN_Experiment_1_heart_big_train,40,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,0.0978770736991865,0.12512940873231054,0.9632742554357756,0.9632742554357756,0.9695672007281505,0.9655216532375858,0.027252335033124048,21.779320552393077,12,0.001,40,<list<integer>>,NA,NA,0.5,32,1,NA,1472,3,NA,187,2,5,NA,FALSE,COMPLETED,14.562234732618977,4,basic
20250623-183016,2025-06-23T20:04:23.867189,2025-06-23T21:02:03.125547,0:57:39.258358,gru_model,GRU_Experiment_2_heart_big_train_synthetic,63,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,0.06732783589028044,0.10585021708642019,0.967522382605518,0.967522382605518,0.9696802779393162,0.9684098396361899,0.03852238119613975,36.39329446503506,31,0.001,63,<list<integer>>,NA,0.2,NA,128,NA,187,NA,NA,NA,NA,2,5,NA,NA,COMPLETED,21.444408971965725,5,basic
20250623-183016,2025-06-24T02:12:25.821745,2025-06-24T03:23:46.242531,1:11:20.420786,cnn_se_skip_model,CNN_SE_Skip_Experiment_2_heart_big_train,46,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,1.2546565952464304,1.1080822665186485,0.7973232230951945,0.7973232230951945,0.8800539816052417,0.8236782446441085,0.14657432872778187,13.227747898925074,13,0.001,46,<list<integer>>,64,NA,0.4,128,1,NA,1472,NA,5,187,3,5,16,TRUE,COMPLETED,26.881551639943083,6,basic
20250623-183016,2025-06-24T03:23:47.893216,2025-06-24T04:12:34.979030,0:48:47.085814,cnn_se_skip_model,CNN_SE_Skip_Experiment_1_heart_big_train_synthetic,41,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,0.9265192684641299,0.9411907027130608,0.9638680796638042,0.9638680796638042,0.9653588195172891,0.964467080782932,0.014671434248930915,1.5588163171012293,8,0.001,41,<list<integer>>,32,NA,0.3,64,1,NA,1472,NA,3,187,2,5,8,FALSE,COMPLETED,54.3926001921702,7,basic
20250623-183016,2025-06-23T21:26:49.935685,2025-06-23T22:23:00.546287,0:56:10.610602,cnn_model,CNN_Experiment_2_heart_big_train,39,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,0.12731020778182237,0.12641182709523768,0.9561483646994335,0.9561483646994335,0.9694039350696311,0.9610298358686569,8.983806865846822e-4,0.7106777168150961,10,0.001,39,<list<integer>>,NA,NA,0.3,64,1,NA,2944,5,NA,187,2,5,NA,TRUE,COMPLETED,54.74050238846419,8,basic
20250623-183016,2025-06-24T04:12:35.002407,2025-06-24T05:30:52.754338,1:18:17.751931,cnn_se_skip_model,CNN_SE_Skip_Experiment_2_heart_big_train_synthetic,19,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.046597852528532,1.0155070949119165,0.889183263292527,0.889183263292527,0.9250169903232283,0.9029957075647397,0.031090757616615505,3.0615992514864967,4,0.001,19,<list<integer>>,64,NA,0.4,128,1,NA,1472,NA,5,187,3,5,16,TRUE,COMPLETED,62.61247329649055,9,basic
20250623-183016,2025-06-23T18:30:17.475297,2025-06-23T18:40:03.317944,0:09:45.842647,baseline_model,Baseline_heart_big_train,43,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,0.26067021537138063,0.2296193357991494,0.9268225835921798,0.9268225835921798,0.9542789274746754,0.9372241866941585,0.031050879572231238,13.522763431121406,8,0.001,43,<list<integer>>,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,5,NA,NA,COMPLETED,64.07912335634272,10,basic
20250623-183016,2025-06-23T18:40:05.054167,2025-06-23T18:59:29.748498,0:19:24.694331,baseline_model,Baseline_heart_big_train_synthetic,38,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,0.09211454269822361,0.17132945502024427,0.94961629819112,0.94961629819112,0.9557599301612706,0.9520159276204031,0.07921491232202066,46.235431212140746,9,0.001,38,<list<integer>>,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,5,NA,NA,COMPLETED,78.15608578695837,11,basic
20250623-183016,2025-06-23T19:37:03.376155,2025-06-23T20:04:23.850601,0:27:20.474446,gru_model,GRU_Experiment_1_heart_big_train_synthetic,40,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,0.07089071259585611,0.13797341141575448,0.9587520555454048,0.9587520555454048,0.9616988215013026,0.9598633788323933,0.06708269881989837,48.62001898159817,8,0.001,40,<list<integer>>,NA,0,NA,64,NA,187,NA,NA,NA,NA,1,5,NA,NA,COMPLETED,78.4348039362586,12,basic
20250623-183016,2025-06-23T23:21:47.372130,2025-06-24T01:39:45.540358,2:17:58.168228,cnn_model,CNN_Experiment_2_heart_big_train_synthetic,45,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,0.036038187100219346,0.08176687138972132,0.9771149278275169,0.9771149278275169,0.9773890995969781,0.9771978014649916,0.04572868428950197,55.92568666538267,10,0.001,45,<list<integer>>,NA,NA,0.3,64,1,NA,2944,5,NA,187,2,5,NA,TRUE,COMPLETED,80.25135054993964,13,basic
20250623-183016,2025-06-23T22:23:02.240089,2025-06-23T23:21:47.351965,0:58:45.111876,cnn_model,CNN_Experiment_1_heart_big_train_synthetic,38,Adam,0.001,1e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,0.03191705927647225,0.09457620963794884,0.9743285218344601,0.9743285218344601,0.9738831484262915,0.9740238628474133,0.0626591503614766,66.25254977054453,10,0.001,38,<list<integer>>,NA,NA,0.5,32,1,NA,1472,3,NA,187,2,5,NA,FALSE,COMPLETED,85.69342270182626,14,basic
20250624-172550,2025-06-25T04:39:51.806023,2025-06-25T05:05:54.491843,0:26:02.685820,cnn_se_skip_model,CNN_SE_Skip_Experiment_1_heart_big_train,49,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,0.9722581851541483,0.965869442104923,0.9438150922711492,0.9438150922711492,0.9605493402284624,0.9497953853315073,0.0063887430492253205,0.6614499611150663,26,1e-5,49,<list<integer>>,32,NA,0.3,64,1,NA,1472,NA,3,187,2,5,8,FALSE,COMPLETED,5.949215753442609,1,tuned
20250624-172550,2025-06-24T18:08:22.757184,2025-06-24T18:28:20.682069,0:19:57.924885,gru_model,GRU_Experiment_2_heart_big_train,54,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,0.17897974853327173,0.17324427680159898,0.9456422437420062,0.9456422437420062,0.9631768175551266,0.9518257648009812,0.005735471731672742,3.3106269583964725,17,1e-4,54,<list<integer>>,NA,0.2,NA,128,NA,187,NA,NA,NA,NA,2,5,NA,NA,COMPLETED,7.091089104997613,2,tuned
20250624-172550,2025-06-25T06:50:35.243331,2025-06-25T13:08:54.707921,6:18:19.464590,cnn_se_skip_model,CNN_SE_Skip_Experiment_2_heart_big_train_synthetic,91,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,0.9953687921477656,0.9946999685890209,0.9094189658322674,0.9094189658322674,0.9360042856658366,0.919779296498289,6.688235587447577e-4,0.06723872321957365,18,0.001,91,<list<integer>>,64,NA,0.4,128,1,NA,1472,NA,5,187,3,5,16,TRUE,COMPLETED,9.09172277838304,3,tuned
20250624-172550,2025-06-24T19:46:30.012512,2025-06-24T20:25:25.317379,0:38:55.304867,cnn_model,CNN_Experiment_1_heart_big_train,54,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,0.12555527591858828,0.14509746457277414,0.9556915768317193,0.9556915768317193,0.9671784591401144,0.9597863727209955,0.01954218865418586,13.468318493176982,12,0.001,54,<list<integer>>,NA,NA,0.4,32,1,NA,1472,3,NA,187,2,5,NA,FALSE,COMPLETED,11.165001563416556,4,tuned
20250624-172550,2025-06-24T19:01:52.437274,2025-06-24T19:46:29.261250,0:44:36.823976,gru_model,GRU_Experiment_2_heart_big_train_synthetic,49,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,0.11703609718242408,0.1447334355763511,0.954686643522748,0.954686643522748,0.9592900792109613,0.9565092019145872,0.027697338393927018,19.136793294259824,15,0.001,49,<list<integer>>,NA,0.2,NA,128,NA,187,NA,NA,NA,NA,2,5,NA,NA,COMPLETED,14.099732294855112,5,tuned
20250624-172550,2025-06-25T05:05:54.512792,2025-06-25T05:50:46.232276,0:44:51.719484,cnn_se_skip_model,CNN_SE_Skip_Experiment_2_heart_big_train,25,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,1.2735782791290144,1.1245486243930352,0.7795998538278823,0.7795998538278823,0.8600294891073752,0.811644923675677,0.1490296547359793,13.252397584534567,21,1e-5,25,<list<integer>>,64,NA,0.4,128,1,NA,1472,NA,5,187,3,5,16,TRUE,COMPLETED,28.66621340947905,6,tuned
20250624-172550,2025-06-24T18:28:22.367464,2025-06-24T19:01:52.419166,0:33:30.051702,gru_model,GRU_Experiment_1_heart_big_train_synthetic,49,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,0.07383649503300951,0.150644501647712,0.9549150374566051,0.9549150374566051,0.96135947928262,0.9574185042027625,0.0768080066147025,50.986266192656,17,1e-4,49,<list<integer>>,NA,0,NA,64,NA,187,NA,NA,NA,NA,1,5,NA,NA,COMPLETED,30.00162935066749,7,tuned
20250624-172550,2025-06-25T05:50:47.862151,2025-06-25T06:50:35.220626,0:59:47.358475,cnn_se_skip_model,CNN_SE_Skip_Experiment_1_heart_big_train_synthetic,48,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,0.9406322510234862,0.9633418189832372,0.9429471953224923,0.9429471953224923,0.9539405539050193,0.9472086779001759,0.022709567959750987,2.357373832656812,8,0.001,48,<list<integer>>,32,NA,0.3,64,1,NA,1472,NA,3,187,2,5,8,FALSE,COMPLETED,56.88396738407918,8,tuned
20250624-172550,2025-06-24T17:56:39.006620,2025-06-24T18:08:22.741840,0:11:43.735220,gru_model,GRU_Experiment_1_heart_big_train,40,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,0.22099796568387556,0.21686033165399185,0.9291065229307509,0.9291065229307509,0.9544165425185781,0.9381079849277495,0.004137634029883708,1.9079718260716514,7,0.001,40,<list<integer>>,NA,0,NA,64,NA,187,NA,NA,NA,NA,1,5,NA,NA,COMPLETED,58.043333619960734,9,tuned
20250624-172550,2025-06-24T17:25:51.603245,2025-06-24T17:36:12.756879,0:10:21.153634,baseline_model,Baseline_heart_big_train,45,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,0.30646519551586476,0.2625842908623298,0.9126164809062671,0.9126164809062671,0.9461671655400903,0.9251142986862344,0.04388090465353495,16.711169015263465,5,0.001,45,<list<integer>>,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,5,NA,NA,COMPLETED,67.09393641700501,10,tuned
20250624-172550,2025-06-24T23:54:00.794118,2025-06-25T04:39:51.066221,4:45:50.272103,cnn_model,CNN_Experiment_2_heart_big_train_synthetic,55,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,0.05573082648039442,0.09332449471578246,0.9726840855106889,0.9726840855106889,0.9721664255877513,0.972348204112529,0.03759366823538803,40.2827450069552,9,0.001,55,<list<integer>>,NA,NA,0.3,64,1,NA,2944,5,NA,187,2,5,NA,TRUE,COMPLETED,72.87296395240871,11,tuned
20250624-172550,2025-06-24T17:36:14.453747,2025-06-24T17:56:38.264064,0:20:23.810317,baseline_model,Baseline_heart_big_train_synthetic,41,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,0.1154629699224697,0.22098454228504844,0.9356385894390645,0.9356385894390645,0.9511249445456552,0.9414563858749929,0.10552157236257874,47.750657702775534,7,0.001,41,<list<integer>>,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,5,NA,NA,COMPLETED,80.31146990748131,12,tuned
20250624-172550,2025-06-24T22:20:19.728936,2025-06-24T23:54:00.773698,1:33:41.044762,cnn_model,CNN_Experiment_1_heart_big_train_synthetic,49,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train_synthetic.parquet,heart_big_test.parq,217411,21892,0.5999944806098938,1.2000055313110352,1.2000055313110352,1.2000055313110352,1.2000055313110352,0.04999538137545822,0.11201362717438335,0.9692124977160607,0.9692124977160607,0.9704376182382988,0.9696020849537469,0.06201824579892513,55.366697216558144,10,0.001,49,<list<integer>>,NA,NA,0.4,32,1,NA,1472,3,NA,187,2,5,NA,FALSE,COMPLETED,80.762098836673,13,tuned
20250624-172550,2025-06-24T20:25:25.336873,2025-06-24T22:20:18.088014,1:54:52.751141,cnn_model,CNN_Experiment_2_heart_big_train,52,Adam,0.001,5e-4,ReduceLROnPlateau,0.1,5,heart_big_train.parq,heart_big_test.parq,87554,21892,0.24162492156028748,7.877102851867676,3.025362730026245,27.317941665649414,2.7228736877441406,0.19589657736705282,0.12554890489491258,0.9602594555088617,0.9602594555088617,0.9686023898120294,0.9632544893931675,0.07034767247214024,56.03208768011392,6,0.001,52,<list<integer>>,NA,NA,0.3,64,1,NA,2944,5,NA,187,2,5,NA,TRUE,COMPLETED,81.99009828917079,14,tuned
